"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_position","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"cargo-git-https-github.com-githedgehog-testn.git-299344af36ed019a20ca2c4c2e8a7a0bfdb6934d","cargo-git-https-github.com-githedgehog-testn.git-299344af36ed019a20ca2c4c2e8a7a0bfdb6934d","","","x86_64-linux","/nix/store/kxc3f9d31mj0ai5ljlig8lmkz0xpvdch-cargo-git-https-github.com-githedgehog-testn.git-299344af36ed019a20ca2c4c2e8a7a0bfdb6934d","['/nix/store/kxc3f9d31mj0ai5ljlig8lmkz0xpvdch-cargo-git-https-github.com-githedgehog-testn.git-299344af36ed019a20ca2c4c2e8a7a0bfdb6934d']","/nix/store/0yr6rr6zhp8r5a1mvc5233fgnc19dsbl-cargo-git-https-github.com-githedgehog-testn.git-299344af36ed019a20ca2c4c2e8a7a0bfdb6934d.drv","cpe:2.3:a:cargo-git-https-github.com-githedgehog-testn.git-299344af36ed019a20ca2c4c2e8a7a0bfdb6934d:cargo-git-https-github.com-githedgehog-testn.git-299344af36ed019a20ca2c4c2e8a7a0bfdb6934d::*:*:*:*:*:*:*","pkg:nix/cargo-git-https-github.com-githedgehog-testn.git-299344af36ed019a20ca2c4c2e8a7a0bfdb6934d","","","","","","","","","",""
"cargo-package-addr2line-0.25.0","cargo-package-addr2line","0.25.0","","x86_64-linux","/nix/store/pxvxzan8sinyml87kiwkpv6fqgh6rhxv-cargo-package-addr2line-0.25.0","['/nix/store/pxvxzan8sinyml87kiwkpv6fqgh6rhxv-cargo-package-addr2line-0.25.0']","/nix/store/2j74fa7416vzbjcz3g1y7lamhh22d20b-cargo-package-addr2line-0.25.0.drv","cpe:2.3:a:cargo-package-addr2line:cargo-package-addr2line:0.25.0:*:*:*:*:*:*:*","pkg:nix/cargo-package-addr2line@0.25.0","","","","","","","","","",""
"cargo-package-addr2line-0.25.1","cargo-package-addr2line","0.25.1","","x86_64-linux","/nix/store/r419wqcrwsnpyk2fbpznw9p52nrgsdws-cargo-package-addr2line-0.25.1","['/nix/store/r419wqcrwsnpyk2fbpznw9p52nrgsdws-cargo-package-addr2line-0.25.1']","/nix/store/28gjn6kcky8pwyf51v5fb55pczy0l6qz-cargo-package-addr2line-0.25.1.drv","cpe:2.3:a:cargo-package-addr2line:cargo-package-addr2line:0.25.1:*:*:*:*:*:*:*","pkg:nix/cargo-package-addr2line@0.25.1","","","","","","","","","",""
"cargo-package-adler2-2.0.1","cargo-package-adler2","2.0.1","","x86_64-linux","/nix/store/zm995cc98h8aamdr415mkv9sppmgwx6z-cargo-package-adler2-2.0.1","['/nix/store/zm995cc98h8aamdr415mkv9sppmgwx6z-cargo-package-adler2-2.0.1']","/nix/store/akjgrz73kprw1p08zi9yjc1wsq0ml13p-cargo-package-adler2-2.0.1.drv","cpe:2.3:a:cargo-package-adler2:cargo-package-adler2:2.0.1:*:*:*:*:*:*:*","pkg:nix/cargo-package-adler2@2.0.1","","","","","","","","","",""
"cargo-package-adler32-1.2.0","cargo-package-adler32","1.2.0","","x86_64-linux","/nix/store/m63v55bflwhf7npkw3cwmzq92wvnfqj9-cargo-package-adler32-1.2.0","['/nix/store/m63v55bflwhf7npkw3cwmzq92wvnfqj9-cargo-package-adler32-1.2.0']","/nix/store/xw3hg09xzs9vygskknpf7ihbvv35npzd-cargo-package-adler32-1.2.0.drv","cpe:2.3:a:cargo-package-adler32:cargo-package-adler32:1.2.0:*:*:*:*:*:*:*","pkg:nix/cargo-package-adler32@1.2.0","","","","","","","","","",""
"cargo-package-afpacket-0.2.3","cargo-package-afpacket","0.2.3","","x86_64-linux","/nix/store/1gp77sd6rj16g26wmjx5arn89am7ai84-cargo-package-afpacket-0.2.3","['/nix/store/1gp77sd6rj16g26wmjx5arn89am7ai84-cargo-package-afpacket-0.2.3']","/nix/store/7l7xj2brvm7r0h9c3dnah6acvfnb9krn-cargo-package-afpacket-0.2.3.drv","cpe:2.3:a:cargo-package-afpacket:cargo-package-afpacket:0.2.3:*:*:*:*:*:*:*","pkg:nix/cargo-package-afpacket@0.2.3","","","","","","","","","",""
"cargo-package-ahash-0.8.12","cargo-package-ahash","0.8.12","","x86_64-linux","/nix/store/47glshn84iijiq64f6g6s9wh06r5vzx2-cargo-package-ahash-0.8.12","['/nix/store/47glshn84iijiq64f6g6s9wh06r5vzx2-cargo-package-ahash-0.8.12']","/nix/store/5mlgbag9ckkgj4qq7blj5wjz4jqyw8ga-cargo-package-ahash-0.8.12.drv","cpe:2.3:a:cargo-package-ahash:cargo-package-ahash:0.8.12:*:*:*:*:*:*:*","pkg:nix/cargo-package-ahash@0.8.12","","","","","","","","","",""
"cargo-package-aho-corasick-1.1.4","cargo-package-aho-corasick","1.1.4","","x86_64-linux","/nix/store/zh85swhq1zsy9zdxp2n5pcm5rpb5bpk7-cargo-package-aho-corasick-1.1.4","['/nix/store/zh85swhq1zsy9zdxp2n5pcm5rpb5bpk7-cargo-package-aho-corasick-1.1.4']","/nix/store/7akgwz6ajcwq7f15jldp495fb5k5v5v8-cargo-package-aho-corasick-1.1.4.drv","cpe:2.3:a:cargo-package-aho-corasick:cargo-package-aho-corasick:1.1.4:*:*:*:*:*:*:*","pkg:nix/cargo-package-aho-corasick@1.1.4","","","","","","","","","",""
"cargo-package-allocator-api2-0.2.21","cargo-package-allocator-api2","0.2.21","","x86_64-linux","/nix/store/c9q3p0x3q82hcdbdkmkmmr4j0jx4mjig-cargo-package-allocator-api2-0.2.21","['/nix/store/c9q3p0x3q82hcdbdkmkmmr4j0jx4mjig-cargo-package-allocator-api2-0.2.21']","/nix/store/xwam8jjk3b7g5zp7zw3p303g922z7gx5-cargo-package-allocator-api2-0.2.21.drv","cpe:2.3:a:cargo-package-allocator-api2:cargo-package-allocator-api2:0.2.21:*:*:*:*:*:*:*","pkg:nix/cargo-package-allocator-api2@0.2.21","","","","","","","","","",""
"cargo-package-android_system_properties-0.1.5","cargo-package-android_system_properties","0.1.5","","x86_64-linux","/nix/store/y7452gx9vzg3ihcla54hzgmww33hfy9l-cargo-package-android_system_properties-0.1.5","['/nix/store/y7452gx9vzg3ihcla54hzgmww33hfy9l-cargo-package-android_system_properties-0.1.5']","/nix/store/g288a2sf38dyirk8c6nvdbd3kf2wp5l2-cargo-package-android_system_properties-0.1.5.drv","cpe:2.3:a:cargo-package-android_system_properties:cargo-package-android_system_properties:0.1.5:*:*:*:*:*:*:*","pkg:nix/cargo-package-android_system_properties@0.1.5","","","","","","","","","",""
"cargo-package-annotate-snippets-0.11.5","cargo-package-annotate-snippets","0.11.5","","x86_64-linux","/nix/store/36n18bf6yhznyn4fdmps2jivs5mx3f3l-cargo-package-annotate-snippets-0.11.5","['/nix/store/36n18bf6yhznyn4fdmps2jivs5mx3f3l-cargo-package-annotate-snippets-0.11.5']","/nix/store/rsabgwzpx1bk37lc8bsnk5pdcjpdk029-cargo-package-annotate-snippets-0.11.5.drv","cpe:2.3:a:cargo-package-annotate-snippets:cargo-package-annotate-snippets:0.11.5:*:*:*:*:*:*:*","pkg:nix/cargo-package-annotate-snippets@0.11.5","","","","","","","","","",""
"cargo-package-anstream-0.6.21","cargo-package-anstream","0.6.21","","x86_64-linux","/nix/store/612ca4nyq34bkjyx9g1n2rhwmav6slra-cargo-package-anstream-0.6.21","['/nix/store/612ca4nyq34bkjyx9g1n2rhwmav6slra-cargo-package-anstream-0.6.21']","/nix/store/iz5ycywwdvp0whcm6nyr3amkiz8kwsmz-cargo-package-anstream-0.6.21.drv","cpe:2.3:a:cargo-package-anstream:cargo-package-anstream:0.6.21:*:*:*:*:*:*:*","pkg:nix/cargo-package-anstream@0.6.21","","","","","","","","","",""
"cargo-package-anstyle-1.0.13","cargo-package-anstyle","1.0.13","","x86_64-linux","/nix/store/2354i2xzlcz2vmy0dlpqiqj6v2c9n2vd-cargo-package-anstyle-1.0.13","['/nix/store/2354i2xzlcz2vmy0dlpqiqj6v2c9n2vd-cargo-package-anstyle-1.0.13']","/nix/store/7b9pc1zva17vplb1xjmlvinhly1rk86h-cargo-package-anstyle-1.0.13.drv","cpe:2.3:a:cargo-package-anstyle:cargo-package-anstyle:1.0.13:*:*:*:*:*:*:*","pkg:nix/cargo-package-anstyle@1.0.13","","","","","","","","","",""
"cargo-package-anstyle-parse-0.2.7","cargo-package-anstyle-parse","0.2.7","","x86_64-linux","/nix/store/f177ykmchn2n3cr5ig11c3v7svlyfp83-cargo-package-anstyle-parse-0.2.7","['/nix/store/f177ykmchn2n3cr5ig11c3v7svlyfp83-cargo-package-anstyle-parse-0.2.7']","/nix/store/0x4m3fmvwk0x5q88sq55j48klzfci5b0-cargo-package-anstyle-parse-0.2.7.drv","cpe:2.3:a:cargo-package-anstyle-parse:cargo-package-anstyle-parse:0.2.7:*:*:*:*:*:*:*","pkg:nix/cargo-package-anstyle-parse@0.2.7","","","","","","","","","",""
"cargo-package-anstyle-query-1.1.5","cargo-package-anstyle-query","1.1.5","","x86_64-linux","/nix/store/v8ncsmhjis7xi1bvk5x6klm1rqlzajkw-cargo-package-anstyle-query-1.1.5","['/nix/store/v8ncsmhjis7xi1bvk5x6klm1rqlzajkw-cargo-package-anstyle-query-1.1.5']","/nix/store/ivshbjfkad4fg3b469jislzb6p957h8x-cargo-package-anstyle-query-1.1.5.drv","cpe:2.3:a:cargo-package-anstyle-query:cargo-package-anstyle-query:1.1.5:*:*:*:*:*:*:*","pkg:nix/cargo-package-anstyle-query@1.1.5","","","","","","","","","",""
"cargo-package-anstyle-wincon-3.0.11","cargo-package-anstyle-wincon","3.0.11","","x86_64-linux","/nix/store/xy1i85p474qglb9hmac14frcw5jmb97r-cargo-package-anstyle-wincon-3.0.11","['/nix/store/xy1i85p474qglb9hmac14frcw5jmb97r-cargo-package-anstyle-wincon-3.0.11']","/nix/store/9ikrivrrgkqy5b4jaa5d8s1n2qn5hlmy-cargo-package-anstyle-wincon-3.0.11.drv","cpe:2.3:a:cargo-package-anstyle-wincon:cargo-package-anstyle-wincon:3.0.11:*:*:*:*:*:*:*","pkg:nix/cargo-package-anstyle-wincon@3.0.11","","","","","","","","","",""
"cargo-package-anyhow-1.0.100","cargo-package-anyhow","1.0.100","","x86_64-linux","/nix/store/wy7y54cw11fxy8fai2r2g07s0c8dwdk8-cargo-package-anyhow-1.0.100","['/nix/store/wy7y54cw11fxy8fai2r2g07s0c8dwdk8-cargo-package-anyhow-1.0.100']","/nix/store/rs97pj2yxjyag200z5r5prdkmmygv0jw-cargo-package-anyhow-1.0.100.drv","cpe:2.3:a:cargo-package-anyhow:cargo-package-anyhow:1.0.100:*:*:*:*:*:*:*","pkg:nix/cargo-package-anyhow@1.0.100","","","","","","","","","",""
"cargo-package-arbitrary-1.4.2","cargo-package-arbitrary","1.4.2","","x86_64-linux","/nix/store/6qgd28wwwzv6dlwfa2m48pvkd5xdllmh-cargo-package-arbitrary-1.4.2","['/nix/store/6qgd28wwwzv6dlwfa2m48pvkd5xdllmh-cargo-package-arbitrary-1.4.2']","/nix/store/xsdx7lck15bahxa2x6arpkr7jxdxkd4m-cargo-package-arbitrary-1.4.2.drv","cpe:2.3:a:cargo-package-arbitrary:cargo-package-arbitrary:1.4.2:*:*:*:*:*:*:*","pkg:nix/cargo-package-arbitrary@1.4.2","","","","","","","","","",""
"cargo-package-arc-swap-1.8.0","cargo-package-arc-swap","1.8.0","","x86_64-linux","/nix/store/nmaq26fj3lzbwqby3yxvbbv3y5a1sdb1-cargo-package-arc-swap-1.8.0","['/nix/store/nmaq26fj3lzbwqby3yxvbbv3y5a1sdb1-cargo-package-arc-swap-1.8.0']","/nix/store/y2bhg2vjq01xg7a8mbabcfbpjxdzj2s2-cargo-package-arc-swap-1.8.0.drv","cpe:2.3:a:cargo-package-arc-swap:cargo-package-arc-swap:1.8.0:*:*:*:*:*:*:*","pkg:nix/cargo-package-arc-swap@1.8.0","","","","","","","","","",""
"cargo-package-arrayvec-0.7.6","cargo-package-arrayvec","0.7.6","","x86_64-linux","/nix/store/bzm7xvfan5j1ssm1fs0gc615dfg50w7s-cargo-package-arrayvec-0.7.6","['/nix/store/bzm7xvfan5j1ssm1fs0gc615dfg50w7s-cargo-package-arrayvec-0.7.6']","/nix/store/arnryhiqzw8d1ifa45cs91q2vzv7msfs-cargo-package-arrayvec-0.7.6.drv","cpe:2.3:a:cargo-package-arrayvec:cargo-package-arrayvec:0.7.6:*:*:*:*:*:*:*","pkg:nix/cargo-package-arrayvec@0.7.6","","","","","","","","","",""
"cargo-package-assoc-0.1.3","cargo-package-assoc","0.1.3","","x86_64-linux","/nix/store/0q64mrnrkzr5c2za6jp159wjy01c698p-cargo-package-assoc-0.1.3","['/nix/store/0q64mrnrkzr5c2za6jp159wjy01c698p-cargo-package-assoc-0.1.3']","/nix/store/dpp41x4gd63zcapsr88xz45nsbrllyff-cargo-package-assoc-0.1.3.drv","cpe:2.3:a:cargo-package-assoc:cargo-package-assoc:0.1.3:*:*:*:*:*:*:*","pkg:nix/cargo-package-assoc@0.1.3","","","","","","","","","",""
"cargo-package-async-broadcast-0.7.2","cargo-package-async-broadcast","0.7.2","","x86_64-linux","/nix/store/745vzcgw66yghp55c68vf8713i70h1fp-cargo-package-async-broadcast-0.7.2","['/nix/store/745vzcgw66yghp55c68vf8713i70h1fp-cargo-package-async-broadcast-0.7.2']","/nix/store/qwnrkx6hix4xnh8yw466mh9xjkybgr62-cargo-package-async-broadcast-0.7.2.drv","cpe:2.3:a:cargo-package-async-broadcast:cargo-package-async-broadcast:0.7.2:*:*:*:*:*:*:*","pkg:nix/cargo-package-async-broadcast@0.7.2","","","","","","","","","",""
"cargo-package-async-stream-0.3.6","cargo-package-async-stream","0.3.6","","x86_64-linux","/nix/store/r7pln332rvvmvdfgz1888xyhrp4r583q-cargo-package-async-stream-0.3.6","['/nix/store/r7pln332rvvmvdfgz1888xyhrp4r583q-cargo-package-async-stream-0.3.6']","/nix/store/2rvbipw5nkqwp002vmrd7gvyw0lsm48i-cargo-package-async-stream-0.3.6.drv","cpe:2.3:a:cargo-package-async-stream:cargo-package-async-stream:0.3.6:*:*:*:*:*:*:*","pkg:nix/cargo-package-async-stream@0.3.6","","","","","","","","","",""
"cargo-package-async-stream-impl-0.3.6","cargo-package-async-stream-impl","0.3.6","","x86_64-linux","/nix/store/q4k2l9s48x69vy3nxp9c2hpdjsi0fc8v-cargo-package-async-stream-impl-0.3.6","['/nix/store/q4k2l9s48x69vy3nxp9c2hpdjsi0fc8v-cargo-package-async-stream-impl-0.3.6']","/nix/store/vgzkv75nixhv1j9l1qrvsrryy46bizsk-cargo-package-async-stream-impl-0.3.6.drv","cpe:2.3:a:cargo-package-async-stream-impl:cargo-package-async-stream-impl:0.3.6:*:*:*:*:*:*:*","pkg:nix/cargo-package-async-stream-impl@0.3.6","","","","","","","","","",""
"cargo-package-async-trait-0.1.89","cargo-package-async-trait","0.1.89","","x86_64-linux","/nix/store/pcd8hsxcdzsr1cf8cll3m58xpachhhr6-cargo-package-async-trait-0.1.89","['/nix/store/pcd8hsxcdzsr1cf8cll3m58xpachhhr6-cargo-package-async-trait-0.1.89']","/nix/store/jfhhx7fd5ck69xzxm9g7xs3b59xwaixg-cargo-package-async-trait-0.1.89.drv","cpe:2.3:a:cargo-package-async-trait:cargo-package-async-trait:0.1.89:*:*:*:*:*:*:*","pkg:nix/cargo-package-async-trait@0.1.89","","","","","","","","","",""
